Razão.Social,Resultado.Bruto.1,Resultado.Bruto.2
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,39.662,61.598
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,18.542.224,20.014.346
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,6.169.199,6.931.808
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,9.829.268,9.971.372
CYRELA COMMERCIAL PROPERT S.A. EMPR PART,3.588.425,3.614.640
DIAGNOSTICOS DA AMERICA S.A.,7.223.593,8.919.711
DIBENS LEASING S.A. - ARREND.MERCANTIL,107.688,103.676
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,516.898,586.414
DIRECIONAL ENGENHARIA S.A.,4.651.685,4.670.510
DOHLER S.A.,101.604,85.109
DOMMO ENERGIA S.A.,201.7,48.327
DTCOM - DIRECT TO COMPANY S.A.,1.879,-539
DURATEX S.A.,1.011.547,978.643
ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,2.32,2.243
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,1.047.066,1.082.258
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,1.055.564,1.095.233
EDP - ENERGIAS DO BRASIL S.A.,2.009.182,2.123.812
EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,417.122,576.567
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,437.69,581.542
ELECTRO ACO ALTONA S.A.,43.534,51.176
ELEKEIROZ S.A.,153.663,103.558
ELEKTRO REDES S.A.,641.027,930.306
ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,0,0
ELETRON S.A.,0,0
ELETROPAULO METROP. ELET. SAO PAULO S.A.,18.554.580,23.702.107
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,11.097,12.633
EMBRAER S.A.,43.758.768,46.068.864
EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,60.179,56.887
EMPRESA NAC COM REDITO PART S.A.ENCORPAR,0,0
ENAUTA PARTICIPAÇÕES S.A.,221.832,176.306
ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.,428.492,534.993
ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,749.205,810.278
ENERGISA S.A.,1.905.778,2.323.631
ENEVA S.A,12.299.682,13.000.755
ENGIE BRASIL ENERGIA S.A.,2.942.575,3.085.211
EQUATORIAL ENERGIA S.A.,25.505.996,33.872.014
EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,805.335,948.063
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,877.851,941.749
ESTACIO PARTICIPACOES S.A.,4.102.463,5.740.265
ETERNIT S.A.,74.982,42.433
EUCATEX S.A. INDUSTRIA E COMERCIO,2.199.745,2.292.343
EVEN CONSTRUTORA E INCORPORADORA S.A.,4.740.971,4.761.196
EXCELSIOR ALIMENTOS S.A.,34.716,34.062
EZ TEC EMPREEND. E PARTICIPACOES S.A.,87.511,205.536
FERREIRA GOMES ENERGIA S.A.,75.766,41.706
FERROVIA CENTRO-ATLANTICA S.A.,70.057,92.456
FERTILIZANTES HERINGER S.A.,1.825.722,1.692.285
FINANCEIRA ALFA S.A.- CRED FINANC E INVS,215.018,231.862
FINANSINOS S.A.- CREDITO FINANC E INVEST,1.689,1.877
FLEURY S.A.,635.976,674.997
FLEX GESTÃO DE RELACIONAMENTOS S.A.,109.325,110.833
FRAS-LE S.A.,215.26,246.574
GAFISA S.A.,2.526.280,2.566.198
GAIA AGRO SECURITIZADORA S.A.,86,0
GAIA SECURITIZADORA S.A.,264,1.235
